,id,nom,posteOuvert,typePoste,lon,lat,alt,postePublic
75,05184002,VITROLLES,False,2,5.951667,44.408667,595,True
0,06004001,ANTIBES VILLA THURET,False,4,7.118333,43.58,39,True
1,06004002,ANTIBES-GAROUPE,True,2,7.133,43.564667,75,True
2,06004004,ANTIBES-GOLF,True,2,7.091167,43.579667,13,True
3,06004009,ANTIBES_SAPC,True,2,7.111167,43.599167,32,True
4,06004012,ANTIBES PORT,False,2,7.127167,43.585333,3,True
5,06004014,ANTIBES,False,0,7.128333,43.590167,1,True
6,06005001,ASCROS,True,1,7.013667,43.922,1173,True
7,06011002,BEAULIEU-SUR-MER VILLA SALLES,False,4,7.326667,43.705,9,True
8,06015001,BERRE-DES-ALPES,False,2,7.321667,43.838333,715,True
9,06016001,BEUIL-OBS,True,2,6.988,44.089833,1464,True
10,06016004,BEUIL,False,2,6.989333,44.089,1368,True
11,06022001,BOUYON-OBS,False,4,7.107167,43.815333,730,True
12,06022002,BOUYON,False,2,7.118167,43.823,723,True
13,06023001,BREIL ROYA-OBS,False,4,7.5,43.933333,320,True
14,06023004,BREIL SUR ROYA,True,2,7.513667,43.940167,305,True
15,06029001,CANNES,True,0,6.9505,43.5565,2,True
16,06029006,CANNES AGGLOMERATION,False,4,7.016667,43.558333,5,True
17,06029007,CANNES PORT,False,2,7.033333,43.55,3,True
18,06029008,CANNES BOURG,False,4,7.016667,43.558333,27,True
19,06033002,CARROS_SAPC,True,2,7.209167,43.786667,78,True
20,06037002,CAUSSOLS,True,2,6.923167,43.752333,1268,True
21,06038001,CHATEAUNEUF GRASSE,True,2,6.996167,43.678333,379,True
22,06044002,COLLE SUR LOUP,False,2,7.1,43.691667,165,True
23,06046001,COLOMARS,False,4,7.216667,43.766667,334,True
24,06048003,CONTES,False,2,7.316667,43.8,200,True
25,06050002,COURSEGOULES_SAPC,True,2,7.0485,43.792,985,True
26,06051001,LA CROIX SUR ROUDOULE_SAPC,False,2,6.873333,43.987667,860,True
27,06056400,ESTENC_NIVO,True,4,6.753,44.239167,1850,True
28,06057001,L ESCARENE,False,4,7.355,43.838,380,True
29,06059003,EZE,True,2,7.365833,43.738833,704,True
30,06069006,GRASSE VILLA MONT-VENTOUX,False,4,6.921667,43.658333,350,True
31,06069008,GRASSE,False,2,6.9395,43.653667,183,True
32,06069009,GRASSE JARDIN ESSAIS,False,4,6.923333,43.658333,160,True
33,06071001,GUILLAUMES-OBS,True,2,6.852333,44.090667,788,True
34,06071003,GUILLAUMES,False,2,6.85,44.1,780,True
35,06073001,ISOLA,False,4,7.033333,44.2,870,True
36,06073004,ISOLA,False,4,7.166667,44.2,2035,True
37,06073005,ISOLA 2000,True,2,7.149,44.1895,1912,True
38,06073405,ISOLA_NIVO,True,4,7.149,44.1895,1912,True
39,06074005,LANTOSQUE_SAPC,True,2,7.307,43.972,550,True
40,06075001,LEVENS-OBS,False,4,7.216667,43.866667,565,True
41,06075006,LEVENS_RESERVOIRS,False,2,7.236667,43.861667,668,True
42,06075007,LEVENS,True,2,7.21,43.846333,691,True
43,06077001,LUCERAM-OBS,False,4,7.366667,43.933333,1420,True
44,06077006,PEIRA CAVA,True,1,7.363333,43.929167,1443,True
45,06079002,MANDELIEU LA NAPOULE_SAPC,True,2,6.898667,43.523667,104,True
46,06081001,LE MAS,True,1,6.809333,43.813667,1525,True
47,06083001,MENTON-OBS,False,4,7.528833,43.784833,12,True
48,06083005,MENTON,True,2,7.488667,43.785833,216,True
49,06083006,MENTON-PORT,False,2,7.519333,43.784,19,True
50,06084002,MOUANS SARTOUX,False,2,6.951167,43.611833,165,True
51,06086001,MOULINET,True,2,7.414667,43.942,817,True
52,06088001,NICE,True,0,7.209,43.648833,2,True
53,06088003,NICE-COL,False,4,7.301333,43.710333,199,True
54,06088005,NICE-FERIC,False,4,7.2345,43.7175,197,True
55,06088007,NICE-RIMIEZ,True,2,7.279167,43.738667,238,True
56,06088009,NICE-ST ROMAN,False,2,7.216667,43.751667,323,True
57,06088010,NICE,False,4,7.268833,43.714333,18,True
58,06088011,NICE MONT-GROS,False,4,7.2985,43.726333,347,True
59,06088012,NICE-TEYSSEIRE,False,4,7.261667,43.705,9,True
60,06088013,NICE,False,4,7.270667,43.6965,16,True
61,06088020,NICE MASSENA,False,4,7.2695,43.695333,2,True
62,06090001,PEGOMAS-TANNERON,False,2,6.897,43.562667,483,True
63,06090002,PEGOMAS,True,2,6.936667,43.602667,109,True
64,06091001,PEILLE-OBS,False,4,7.4,43.833333,630,True
65,06091003,PEILLE,True,1,7.428333,43.775167,1106,True
66,06091004,PEILLE,False,3,7.4,43.8,672,True
67,06094001,PEONE-VALBERG,False,4,6.933333,44.1,1659,True
68,06094002,PEONE,True,1,6.930833,44.099667,1784,True
69,06094400,VALBERG_NIVO,True,4,6.941333,44.087,1630,True
70,06099001,PUGET-THENI-OBS,False,4,6.9,43.95,420,True
71,06099004,PUGET THENIERS_SAPC,True,2,6.892333,43.956833,449,True
72,06102001,RIMPLAS_SAPC,True,2,7.1335,44.067167,1130,True
73,06103002,BERTHEMONT-LES-BAINS_SAPC,True,2,7.300833,44.044333,938,True
74,06106002,ROQUESTERON,False,2,7.006167,43.876333,405,True
75,06116002,ST AUBAN,False,2,6.727,43.847,1048,True
76,06118001,ST CEZAIRE,False,2,6.797667,43.645167,474,True
77,06118002,ST CEZAIRE SUR SIAGNE,True,1,6.809,43.678667,694,True
78,06119001,ST-DALMAS-LE-SE,False,4,6.85,44.283333,1500,True
79,06120001,TINEE-AURON,False,4,6.937333,44.222667,1605,True
80,06120004,ST ETIENNE DE TINEE_SAPC,True,2,6.921167,44.257667,1150,True
81,06120400,AURON_NIVO,True,4,6.9135,44.215333,1910,True
82,06120401,AURON -S-,True,4,6.928667,44.207833,2099,True
83,06121001,CAP FERRAT,False,2,7.328333,43.683333,138,True
84,06121002,SAINT-JEAN-CAP-FERRAT,False,4,7.33,43.69,35,True
85,06125001,ST MARTIN D'ENTRAUNES_SAPC,True,2,6.747,44.154667,1642,True
86,06127001,ST-MARTIN-DE-VESUBIE-OBS,False,2,7.254167,44.074167,994,True
87,06127003,ST MARTIN VESUBIE,False,2,7.258167,44.073667,1044,True
88,06127006,SAINT MARTIN VESUBIE_SAPC,False,2,7.255,44.065667,899,True
89,06130001,ST-VALLIER-OBS,False,4,6.833333,43.716667,715,True
90,06130002,ST VALLIER,False,2,6.843,43.691333,708,True
91,06136001,SOSPEL-OBS,False,4,7.433333,43.9,349,True
92,06136003,SOSPEL,False,2,7.45,43.883333,360,True
93,06136004,SOSPEL-COLLETTA,False,4,7.433333,43.866667,540,True
94,06136005,SOSPEL,True,1,7.433667,43.862833,843,True
95,06148001,TOURRETTES SUR LOUP,False,2,7.055833,43.708167,311,True
96,06151001,UTELLE CIMETIERE,False,4,7.246667,43.918333,800,True
97,06151002,UTELLE,False,4,7.266667,43.916667,279,True
98,06152002,VALBONNE-SOPHIA,True,2,7.0285,43.623167,238,True
99,06153001,VALDEBLORE-OBS,False,4,7.166667,44.066667,1000,True
100,06153004,VALDEBLORE,False,2,7.1695,44.069,1058,True
101,06153400,MILLEFONTS-NIVOSE,True,3,7.192,44.118333,2430,True
102,06154002,VALDEROURE,False,2,6.7345,43.792333,1105,True
103,06157002,VENCE,False,4,7.116667,43.716667,321,True
104,06163001,TENDE-OBS,True,2,7.595,44.086667,792,True
105,06163005,TENDE-CASTERINO,False,4,7.5035,44.091833,1554,True
106,06163007,TENDE_SAPC,True,2,7.586,44.043167,636,True
107,06163400,VAL CASTERINO_NEIGE,True,5,7.505833,44.0975,1554,True
0,07005001,ALBA LA ROMAINE,True,2,4.5825,44.539833,223,True
1,07005002,ALBA SA,False,4,4.582833,44.538833,223,True
2,07010001,ANNONAY,True,2,4.6705,45.246167,336,True
3,07010002,ANNONAY LES PILLES,False,4,4.668333,45.243333,384,True
4,07010003,ANNONAY MALLEVAL COLLEGE,False,4,4.668333,45.241667,350,True
5,07011002,ANTRAIGUES,True,2,4.352167,44.719167,428,True
6,07011004,ANTRAIGUES SA,False,2,4.352167,44.712167,600,True
7,07019001,AUBENAS/ECOLES,False,4,4.388333,44.616667,260,True
8,07019003,AUBENAS PONT D'AUBENAS,False,4,4.388333,44.616667,310,True
9,07019005,AUBENAS SA,True,2,4.409833,44.601667,176,True
10,07025001,BARNAS RAD,True,1,4.159833,44.666,480,True
11,07032002,BERZEME RAD,True,1,4.566333,44.628333,650,True
12,07032003,BERZEME SA,False,3,4.5665,44.6285,760,True
13,07033001,BESSAS,True,2,4.298667,44.34,251,True
14,07042001,BOURG ST ANDEOL,False,4,4.6415,44.372333,74,True
15,07064001,CHEYLARD SA,True,2,4.4375,44.914833,418,True
16,07064002,CHEYLARD,False,4,4.4,44.916667,450,True
17,07066001,CHOMERAC SA_RCE,True,2,4.648333,44.6995,216,True
18,07068001,COLOMBIER JEUNE RAD,True,1,4.671167,45.0155,566,True
19,07069001,COLOMBIER VIEUX SA,False,3,4.698,45.063667,408,True
20,07075001,CROS GEORAND,True,2,4.099667,44.780167,1021,True
21,07088001,FAUGERES,False,4,4.136167,44.474667,430,True
22,07096001,GLUIRAS RAD,True,1,4.524,44.839333,760,True
23,07099001,GRAS,True,2,4.5655,44.429,341,True
24,07101001,GROSPIERRES,True,2,4.300833,44.411333,127,True
25,07101002,GROSPIERRES SA,False,2,4.295833,44.4115,107,True
26,07105001,ISSANLAS,True,2,3.981667,44.773167,1215,True
27,07105003,ISSANLAS_SAPC,True,2,3.975333,44.7555,1264,True
28,07110001,JOYEUSE,False,4,4.230833,44.477667,212,True
29,07110002,JOYEUSE ECOLE,False,4,4.238333,44.48,170,True
30,07117001,LABLACHERE DROME,True,4,4.234833,44.461333,265,True
31,07117002,LABLACHERE,True,2,4.208333,44.480833,295,True
32,07128001,LALOUVESC,True,2,4.535,45.117833,1090,True
33,07131001,LANAS SYN,True,0,4.368167,44.537167,265,True
34,07144001,LOUBARESSE,True,4,4.049333,44.599833,1220,True
35,07153001,MAYRES,True,2,4.113,44.667167,579,True
36,07154003,MAZAN  S.A.,False,3,4.128333,44.743333,1185,True
37,07154005,MAZAN ABBAYE RAD,True,1,4.083833,44.733833,1240,True
38,07159001,MIRABEL SA,True,2,4.497333,44.5815,275,True
39,07161001,MONTPEZAT SA,True,2,4.207,44.715667,602,True
40,07161002,MONTPEZAT,True,4,4.229667,44.703333,491,True
41,07168001,ORGNAC AVEN,True,2,4.421667,44.288333,230,True
42,07172001,PEAUGRES,False,4,4.75,45.291667,366,True
43,07172002,PEAUGRES RAD,True,1,4.705833,45.286167,480,True
44,07185001,PREAUX SA,False,2,4.665,45.14,525,True
45,07186001,PRIVAS,True,4,4.596333,44.718833,282,True
46,07186002,PRIVAS,False,4,4.601667,44.736667,300,True
47,07186005,PRIVAS,False,4,4.596667,44.736667,275,True
48,07187001,CROIX MILLET,True,1,4.241333,44.606333,779,True
49,07192001,ROCHEPAULE SA,False,3,4.453333,45.081667,1055,True
50,07202002,SABLIERES OARA,True,2,4.0725,44.533,540,True
51,07204001,ECOLE ST AGREVE,False,4,4.398333,45.008333,1050,True
52,07204002,LICHESSOL,False,4,4.431167,44.982,1050,True
53,07204005,ST-AGREVE,False,4,4.401,45.012167,1072,True
54,07204008,ST-AGREVE RAD,True,1,4.368,44.997833,1014,True
55,07225001,ST-CLAIR S.A.,False,3,4.681667,45.27,420,True
56,07228001,ST-DESIRAT SA,False,3,4.783667,45.260333,275,True
57,07230002,ESCRINET SA,False,2,4.4905,44.715333,737,True
58,07232001,ST-ETIENNE LUGDARES,True,2,3.9485,44.651333,1022,True
59,07235003,SAINTE-EULALIE PRINCES,False,4,4.188333,44.81,1350,True
60,07236002,SAINT-FELICIEN ECOLE,False,4,4.628333,45.085,540,True
61,07237001,ST-FORTUNAT,False,4,4.661667,44.816667,205,True
62,07240001,ST-GEORGES BAIN,True,2,4.8325,44.860333,112,True
63,07261001,ST-LAURENT PAPE,True,2,4.746833,44.817833,112,True
64,07265001,ST-MARCEL ANNONAY,True,2,4.642,45.296,494,True
65,07279001,ST-MONTAN,True,2,4.636333,44.441833,130,True
66,07281001,SAINT-PERAY FRUITCOOP,False,4,4.843333,44.945,120,True
67,07284002,ST-PIERRE-ST-JEAN,False,4,4.1165,44.449333,315,True
68,07286001,ST PIERREVILLE,False,4,4.488333,44.815,600,True
69,07286002,ST-PIERREVILLE,True,2,4.485,44.814333,560,True
70,07286004,ST PVILLE S.A.,False,3,4.488333,44.82,640,True
71,07293001,ST ROMAIN,False,4,4.798333,44.976667,600,True
72,07294001,ST-SAUVEUR SA,False,2,4.26,44.296,149,True
73,07301002,ST-VICTOR,True,2,4.682333,45.110167,557,True
74,07303001,ST-VINCENT DE D,False,4,4.646667,44.818333,150,True
75,07314001,SILHAC FONTBONNE,False,4,4.608333,44.88,600,True
76,07315004,LA SOUCHE,True,2,4.123667,44.6285,924,True
77,07319001,FRAYOL,False,4,4.685,44.551667,71,True
78,07322001,THUEYTS,False,4,4.238333,44.673333,420,True
79,07324001,TOURNON,False,4,4.835,45.065,123,True
80,07330002,VALLON,False,4,4.386667,44.41,94,True
81,07330004,VALLON SA,True,4,4.403667,44.391833,120,True
82,07331001,VALS-LES-BAINS,True,2,4.360667,44.6695,283,True
83,07334003,LES VANS SA,False,3,4.118,44.411667,275,True
84,07334004,LES VANS-SA,True,2,4.150833,44.4155,140,True
85,07338001,VERNOUX,True,2,4.652333,44.8995,561,True
86,07338005,VERNOUX SA,False,2,4.626667,44.893333,510,True
87,07346001,VIVIERS BOURG,False,4,4.688333,44.483333,80,True
88,07347001,VOCANCE,True,2,4.554333,45.201167,529,True
0,08001001,ACY-ROMANCE,False,4,4.339167,49.500833,99,True
1,08025001,ATTIGNY,False,4,4.575,49.475,81,True
2,08026001,AUBIGNY,False,2,4.446667,49.778333,191,True
